기업명,직무,회사소개,주요업무,자격요건,스택,우대사항,복리후생,회사주소
엑스바디,프론트엔드 개발자 (3년 이상), 엑스바디 기업소개 S und Mind  S und B dy 엑스바디는 전에 없던 미래의 기술로 건강한 몸과 즐거운 마음을 만드는 새로운 서비스를 개발하여 모두가 가장 높은 수준의 건강을 누리는 미래를 꿈꾸고 있는 디지털 헬스케어 기업입니다  경계를 허문 서비스 혁신 메타버스 플랫폼 부터 헬스케어 디바이스 개발까지신체의 건강부터 정신적인 건강까지전문적인 Medical 분야부터 일상 속 Wellness 까지엑스바디 서비스는  건강함  이라는 본질적인 가치 안에서 경계를 허문 다양한 서비스 혁신을 이어갑니다  We are hiring   2022 대한민국 일자리 으뜸기업  으로 선정된 엑스바디는 모든 구성원이 엑스바디 안에서 비전을 실현해갈 수 있는  장 을 만들고자  좋은 일자리  의 본질을 고민하고 실현해가고 있습니다  exb dy Attitude   잘 알고있다   보다  잘 할 수 있다   라는 태도가 먼저입니다 업무를 하다 부딫히는 능력의 한계는  내가 잘 알고 있다   고 자만하는데서 시작됩니다 따라서  엑스바디는 현재 분야에 대해 잘 알고 있는 것보다  잘 해나갈 수 있다는 마음가짐을 더 높은 가치로 바라보며 잘 해나가고자 하는 옳은 마음을 가지고 이를 실행해갈 수 있는  스마트 한 인재를 원합니다  함께하기 위한 방법   접수기간   2023년 06월 13일  화    채용시 마감  접수방법   원티드 입사지원  이력서양식    원티드 이력서 양식 함께하기 위한 여정   서류전형  1차 실무진 인터뷰  2차 임원진 컬처핏 인터뷰  최종합격,  헬스 케어 플랫폼 PC  M bile 웹 프론트 개발  관리자 웹 프론트 개발,  프론트엔드 유관 경력 3년 이상을 보유하신 분  javascript  ES2016 이상   HTML CSS 기반 개발 경험이 있는 분  React를 이용한 Single Page Applicati n에 대한 전반적인 이해와 개발 경험이 있는 분  H  ks 이해와 개발 경험이 있는 분  Redux 등 상태 관리 개발 경험이 있는 분  axi s  react query 등을 이용하여 서버 연결 경험이 있는 분  Typescript 개발 역량을 보유하신 분,"'React','CSS','HTML','JavaScript','TypeScript','CSS자바스크립트','NodeJS'",  styled c mp nents 사용하여 개발 경험이 있는 분  n dejs 개발 역량을 보유하신 분  full calendar  chartjs 등의 플러그인을 자유롭게 사용하는 역량을 보유하신 분  렌더링 최적화 등 프론트 엔드 성능 개선을 위해 꾸준히 노력하시는 분,  무제한 성장지원  워크샵 세미나 클래스 활동 지원비 제공   장기근속 휴가  3년마다 3일씩 휴가  100만원 휴가비 지원   1Day 1Meal  샐러드  샌드위치  김밥 등 간단 식사 지원   복지몰 제공  생일  명절 등 취향껏 골라담는 복지몰 운영   피트니스센터  운동 기구 및 샤워시설이 완비된 피트니스 센터 제공 ,"서울시 금천구 가산디지털 1로 151,이노플렉스BD 1차 9F"
모던라이언,Backend 개발팀 시니어 개발자 (6년 이상),모던라이언 M dernli n 은 현대카드 MODERN 와 멋쟁이사자처럼 LIKELION 의 합작 법인으로 설립 된  컬처 블록체인 Culture Bl ckchain 회사 입니다 모던라이언은 이더리움 기반의 글로벌 NFT 마켓플레이스인 KONKRIT 콘크릿 을 시작으로 프리미엄 NFT 서비스인  KONKRIT Originals 와 고객의 NFT 및 가상 자산을 안전하게 보관 하고 이용할 수 있는  KONKRIT Wallet  서비스를 제작하고 있습니다 KONKRIT Originals 를 통하여 기업은 쉽게 NFT 기반의 프리미엄 서비스를 도입 및 운영할 수 있고  고객은 이러한 프리미엄 서비스의 혜택을 편리하게 누릴 수 있습니다 고객이 보유한 NFT 자산은 KONKRIT Wallet 에 안전하게 보관되며  KONKRIT 마켓플레이스를 통해 글로벌하게 거래할 수 있습니다 우리의 KONKRIT은 쉽고 편리한 NFT 기반의 통합 플랫폼 서비스입니다 우리는 웹 서비스에 대한 깊은 이해를 갖추고 있으며  더 나아가 블록체인 기술로 비즈니스의 장벽을 낮추고 생활에 편리함을 더하는 플랫폼을 만들어낼 수 있다고 믿습니다  이를 위해 모던라이언은 웹2 0 기술과 웹3 0 기술을 폭넓게 이해하고 학습하며  빠르게 플랫폼에 적용할 수 있는 문화를 만들어가고 있습니다 Web3 생태계와 커뮤니티를 만들어갈  모던라이언의 위대한 여정에 함께하실 여러분을 기다립니다     모던라이언은 멋쟁이사자처럼 과 현대카드의 합작법인으로 현재 멋쟁이사자처럼과 동일한 오피스에서 근무하고 있습니다 이번 채용은 멋쟁이사자처럼 소속으로 진행되며  입사 후 담당 업무 및 근무처는 모던라이언으로 전출 하는 형태의 채용공고 입니다   채용 프로세스서류 지원  ＞ 코딩 테스트  ＞ 1차 인터뷰  직무 관련   ＞ 2차 인터뷰  협업 관련   ＞ 최종 합격  ,  KONKRIT 웹 및 KONKRIT Wallet 의 백엔드 서비스를 개발합니다   KONKRIT 서비스를 위한 인프라를 설계하고 관리합니다   블록체인 데이터를 캐싱 및 크롤링하여 다양한 비즈니스 문제를 해결합니다 ,  6년 이상의 백엔드 개발 경력이 있거나 그에 준하는 실력을 갖추신 분  JavaScript   TypeScript 를 이용한 개발에 능숙하신 분  웹 서비스에 대한 전반적인 이해를 갖추신 분  RDB P stgres  및 ORM에 대한 전반적인 이해를 갖추신 분  도커  쿠버네티스 등 컨테이너 기반의 서비스에 대한 경험이 있으신 분  1년 이상의 NestJS 실무 프로젝트 개발 경험이 있으신 분  모듈화  테스트  유지보수가 용이한 코드에 대한 이해를 갖추고 계신 분  기술 중심이 아닌 유저 중심적인 태도를 가지고 계신 분  배움에 대한 열정을 갖고  지속적이고 효과적으로 피드백을 주고 받는 분,"'JavaScript','TypeScript','Blockchain','Docker','PostgreSQL','ORM','ReactNative','Kubernetes','Redux','Nest.js','Typeform'",  하나 이상의 백엔드 서비스나 플랫폼을 직접 설계 및 개발한 경험이 있는 분  NestJS  TypeORM  Ethers 등의 라이브러리 사용 경험이 있는 분  사용자 인증과 인가 방식에 대한 설계 및 구현 경험이 있는 분  블록체인과 NFT 도메인에 대한 이해가 있으며  관련 개발에 경험이 있으신 분  피그마로 제작된 UI   UX 기반으로 기획자와 협업 경험이 있으신 분,  점심식비 지원 일 1만 5천원_연간 약 370만원   자율출퇴근제 원하는 시간에 자유롭게 출퇴근   자유로운 연차  반차 사용  생일 휴가  성장을 위한 지원 도서 구매비  교육비  세미나 참석   최신 업무장비 LG Gram MacB  k  듀얼 모니터  및 모션데스크  최고급 사무용 의자  경조사 지원 휴가  화환 ,"서울시 종로구 종로3길 17, 디1동 16층 (청진동,D타워)"
오엠티아이코리아,ASP.NET 신입 개발자,OMTI Inc 는 1985년에 설립하여 미국 법조 관련 분야에 ERP 솔루션을 개발 판매하고 있으며 현재까지 해당 업계에서 경쟁자가 없는 높은 시장 점유율을 기록하고 있습니다 오엠티아이코리아는 미국 본사의 R D를 위해 2006년에 설립된 한국 법인으로 관련 ERP 솔루션의 연구  개발  유지 보수를 담당하고 있습니다 오엠티아이코리아에서는 차세대 솔루션을 개발하고 함께 성장해 나갈 수 있는 다음과 같은 개발자분들을 모집합니다   단순히 프로그래밍 스킬의 증진이 아니라 한 분야의 전문가가 되고 싶으신 분  능동적이고 주체적으로 근무하고 싶으신 분  프로그래밍 개발을 좋아하고 나이가 들어도 계속 개발 업무를 하시고 싶은 분, 주요업무   웹 어플리케이션 개발 및 유지보수 개발 환경   프론트엔드  Jquery  Kend  UI C mp nent 기반의 MVVM 패턴 개발  Ajax사용  백엔드  Micr s ft ASP NET MVC 5  데이터베이스  Micr s ft SQL Server  서버  Micr s ft Azure 기반의 Wind ws Server Platf rm  형상관리  GitHub  협업 관리 툴  Ax s ft   SmartSheet   G  gle W rkspace  개발 문화  사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100  코드 리뷰 진행 채용절차   모집인원  0명  지원자별 빠른 개별 채용절차를 진행  서류전형  실무진 면접  임원진 면접,  초대졸 이상 혹은 졸업예정자  해외여행에 결격사유가 없으신 분  관련 학과 졸업 혹은 관련 교육 과정 6개월 이상 이수자  프로그램 개발에 관심이 많으신 분  jQuery 또는 React와 같은 javascript 기반의 라이브러리를 사용해서 UI와 데이터 처리를 경험해 보신 분,"'AJAX','Azure','ASP.NET','JavaScript','jQuery','HTML5','CSS3','MicrosoftServer','MSSQL'",  jQuery와 Ajax를 사용하여 클라이언트 서버 간의 비동기 데이터 처리를 해보신 분  Kend  UI C mp nent를 사용해 보신 분  ASP NET MVC를 사용해 보신 분, 근무조건   근무시간  주 5일 월 금   09 00 18 00  급여  4년제 대졸자 3 600만원 수준  근무형태  정규직 수습기간 3개월   수습기간 중 급여의 80  지급 업무환경   고객 응대  외근  지방 출장 없음   직급에 상관없이 상호 간 존댓말 사용  사내 테라스 구비  휴게실 세라젬  바디프랜드  구비  커피  간식 구비  야근 없음   업무 후 회식 대신 한 달에 한 번씩 오후 3시부터 리프레시데이 진행 복지 및 혜택   4대보험 및 퇴직연금  각종 경조사 지원  명절 선물  생일 선물  체력단련비 지원  장기근속자 특별 휴가와 포상금 지급  휴가는 2시간 단위로 자유롭게 사용  1시간 30분의 넉넉한 점심시간,"서울특별시 서초구 서초대로27길 54, 1층"
오엠티아이코리아,ASP.NET 중급 개발자,OMTI Inc 는 1985년에 설립하여 미국 법조 관련 분야에 ERP 솔루션을 개발 판매하고 있으며 현재까지 해당 업계에서 경쟁자가 없는 높은 시장 점유율을 기록하고 있습니다 오엠티아이코리아는 미국 본사의 R D를 위해 2006년에 설립된 한국 법인으로 관련 ERP 솔루션의 연구  개발  유지 보수를 담당하고 있습니다 오엠티아이코리아에서는 차세대 솔루션을 개발하고 함께 성장해 나갈 수 있는 다음과 같은 개발자분들을 모집합니다   단순히 프로그래밍 스킬의 증진이 아니라 한 분야의 전문가가 되고 싶으신 분  능동적이고 주체적으로 근무하고 싶으신 분  프로그래밍 개발을 좋아하고 나이가 들어도 계속 개발 업무를 하시고 싶은 분, 주요업무   웹 어플리케이션 개발 및 유지보수 개발 환경   프론트엔드  Jquery  Kend  UI C mp nent 기반의 MVVM 패턴 개발  Ajax사용  백엔드  Micr s ft ASP NET MVC 5  데이터베이스  Micr s ft SQL Server  서버  Micr s ft Azure 기반의 Wind ws Server Platf rm  형상관리  GitHub  협업 관리 툴  Ax s ft   SmartSheet   G  gle W rkspace  개발 문화  사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100  코드 리뷰 진행 채용절차   모집인원  0명  지원자별 빠른 개별 채용절차를 진행  서류전형 ＞ 실무진 면접 ＞ 임원진 면접,  초대졸이상 졸업자  해외여행에 결격사유가 없으신 분  동일 직무에 대해 2 7년 이하의 경력이 있으신 분  연봉은 동일 직무 경력으로 협의  1년 이상 ASP NET MVC를 사용해 보신 분  T SQL 작성이 가능하신 분,"'AJAX','Azure','ASP.NET','JavaScript','jQuery','HTML5','CSS3','MicrosoftServer','MSSQL'",  Kend  UI 유경험자  Micr s ft Azure 유경험자, 근무조건   근무시간  주 5일 월 금   09 00 18 00  근무형태  정규직 수습기간 3개월   급여  경력직은 면접 후 협의  희망연봉을 꼭 명시해 주시기 바랍니다  업무환경   고객 응대  외근  지방 출장 없음   직급에 상관없이 상호 간 존댓말 사용  사내 테라스 구비  휴게실 세라젬  바디프랜드  구비  커피  간식 구비  야근 없음   업무 후 회식 대신 한 달에 한 번씩 오후 3시부터 리프레시데이 진행 복지 및 혜택   4대보험 및 퇴직연금  각종 경조사 지원  명절 선물  생일 선물  체력단련비 지원  장기근속자 특별 휴가와 포상금 지급  휴가는 2시간 단위로 자유롭게 사용  1시간 30분의 넉넉한 점심시간,"서울특별시 서초구 서초대로27길 54, 1층"
엔에스원소프트,웹 프론트엔드 및 백엔드 개발자(5-10년),엔에스원소프트는 2018년에 설립된 회사로 자본금 3억 5 000만원  매출액 36억 사원수 24명 규모의 중소기업입니다 서울 강남구 학동로 107  논현동  더퍼스트 에 위치하고 있으며 지능형 관제솔루션  IP 네트워크 진단 솔루션  NMS  컨설팅  PS LTE  LTE X  해양통신  해양국제표준화 및 해양빅데이터 사업을 하고 있습니다 당사는 유 무선 네트워크를 기반으로한 다양한 형태의 인프라 공공 및 민간 에 대한진단  분석   모니터링 솔루션  네트워크 컨설팅 및 네트워크 응용서비스를 개발합니다 LTE PS LTE LTE R LTE M 및 5G 네트워크에 대한 깊은 지식과 운영 분석 최적화 등에 대한경험을 바탕으로 K  S L   정부공공기관 등을 파트너사로 업무를 진행합니다  사업영역   이동통신 LTE 5G  네트워크의 망품질 상태모니터링 시스템및성능진단 통합관제솔루션 개발  재난안전통신망 PS LTE   초고속해상무선통신망 LTE M   철도통합무선망 LTE R   인천공항LTE통합망  5G정부망 특화망  이통사 통신망 등 공공 민간영역 통신망에 대한 통합관제솔루션 개발  이동통신 기반 응용서비스 및 I T 관리 플랫폼 개발  통신 및 해양 분야 빅데이터 관리 플랫폼 및 센터 개발  해양디지털통신 규격 기기 서비스 개발,  웹 프론트엔드 영역 개발  본사 연구소 소속  개발팀의 중간 포지션  선임개발자로서 후임 코칭 리딩,  프론트엔드 영역 개발 기본 스킬 보유 Java  javascript  Spring B  t  JSP  React  Vue js  etc   관련 개발경력 5년 10년 사이 우대  백오피스 관리자영역 분석영역 개발 경험,"'React','JavaScript','API','SpringFramework','GIS','JPA'",  NMS APM SMS 등 개발 경험자 우대  스타트업 4년이상 경험자 우대  백엔드 개발 스킬 보유자 우대,  년1회 종합건강검진  단체보험 가입  명절선물  생일선물  창림기념선물  근로자의날선물  휴게실  회의실  스마트기기  노트북 지급  연차  경조휴가 축하금 지급  생일자조기퇴근  퇴직연금  성과급  휴일수당  연차수당  워크샵  신입사원교육 OJT   직무교육  자기계발지원  저녁식사 제공  간식 제공  수평적 조직문화  회식강요 안함  자유복장  문화회식,"강남구 학동로 107, 더 퍼스트 빌딩 4층"
프리디소프트,Backend(Python) Engineer, FreeD 소개 FreeD Gr up은 홍콩에 본사를 두고 한국  홍콩  중국  싱가폴  토론토를 중심으로 빠른 Gl bal 성장을 하고 있는 CVM  Cust mer Value Management  SaaS 솔루션 회사이며  AI Digital과 Smart e c mmerce S luti n Suite를 개발 고도화하여 올해 북미와 유럽으로의 진출을 시작하였습니다 AI와 빅데이터를 활용한 완성형 CVM Smart 이커머스 솔루션을 여러 글로벌 회사들에게  BMW  LG  Samsung  China M bile  한진  Guanait ng 등  제공하고 있으며  더욱 많은 기업들과 파트너십을 진행 중에 있습니다 이러한 솔루션을 기반으로 현재 Series B 투자를 성공적으로 마쳐 총 투자금 350억 이상을 유치하였으며  올해 Series C 투자를 마무리하고 있습니다 더 자세한 회사에 관한 소개는  ,  Fastapi를 활용하여 프로젝트의 백오피스와 세일즈 채널 api 개발  Redis를 활용한 MSA  Micr Service Architecture  환경에서 서비스간의 이벤트 처리  fr nt end 개발자와 소통하며 이슈 및 개발 범위 파악  TDD   코드리뷰,  웹개발 경험 4년 이상  pyth n   pyth n framew rk  djang   flask  fastapi 등 사용  경력자  TDD를 위해 노력하시는 분  Netw rk  http  TCP IP 등  지식이 풍부하신 분  DB SQL에 대한 충분한 지식이 있으신 분  D cker 활용 경험 있으신 분,"'Django','Python'",  클라우드 서비스 활용 경험이 있으신 분  리서치한 내용과 경험을 적극 공유하시는 분  문제 파악과 해결에 적극적이신 분  pyth nic 한 코드를 선호하시는 분  코드 리뷰가 두렵지 않으신 분  개발 공식 문서를 읽는데 어려움이 없으신 분 채용 절차 서류 전형   과제 전형   HR 면접   실무진 면접   팀리드 면접   최종 합격  임원 면접이 추가될 수 있습니다   입사 유의사항   인턴을 제외한 모든 직무는 3개월 수습기간이 있습니다   수습기간 동안 급여 100   및 복지는 차등 없이 지급됩니다   입사지원 서류에서 허위기재 사실이 발견될 경우  입사가 취소될 수 있습니다 ,  자율적인 근무 환경  시차 출퇴근제  8 11시 출근 가능  8시간 근무   1시간 단위 휴가 사용  일퇴찬스  한달에 한 번 일찍 퇴근 찬스   수평적인 근무 환경  주 2회 요일 선택 가능한 재택근무  연 22회 휴가 지급   기본 연차 15일    일퇴찬스  6일   1달에 0 5개   12    생일휴가  1일   샌드위치 연차유급휴가 대체제도  5일   직원의 성장을 위한 지원  직무 관련 도서 및 강의 지원   동종업계 대비 경쟁력 있는 급여 측정,서울특별시 강남구 선릉로111길 38-14
누벤트,서비스 백엔드 개발자 (node.js) (4년 이상),누벤트는 오프라인 결제 및 결제데이터를 통하여 다양한 서비스를 개발 운영하고 있는 팀입니다 지속적인 서비스 향상을 함께 이뤄 나갈 서버 개발자를 모십니다  앳트래커’는 매장으로부터 수집된 영수증 데이터를 실시간으로 분석하고  SaaS 형태의 서비스를 B2B  B2C 대상으로 제공하는 서비스입니다 분석된 데이터를 웹 기반에서 다양한 지표 형태로 시각화하여  매장 점주  프랜차이즈 가맹본부  나아가 유통  금융  일반 소비자까지 연결된 데이터를 융합하여 제공하며 그들에게 필요한 인사이트를 만들고 그리면서 서비스의 Value를 확장하고 있습니다 최근 언택트 시대로 달라진 우리 생활에 배달 문화는 더 크게 자리매김 하고 있는 반면 데이터 접근의 빈부격차 역시 커지는 환경속에  일반매장에서는 그 혜택을 누리고 있지 못하고 있는 상태입니다  앳트래커 에서는 매출과 메뉴분석을 포함  여러 배달 플랫폼에서 제공하지 않는 배달 통합지표를 필두로 매장 매출에 기여할 수 있는 데이터를 서비스화 하여 제공하며 양질의 서비스를 만들기 위해 데이터 산업과 관련된 여러 가지 기술을 접목하여 발전시키며 시장의 포지션을 넓혀나가고 있습니다  우리’는 스펙만 가진  인재’를 찾지 않습니다  서비스와 함께 성장할 준비가 되어있는  그  성장’의 길을 함께할 실력있는  멤버’를 찾습니다 누벤트와 함께 신나게 일하며 성장할 준비가 되어 있는 분들은 누구라도 상관없이 지원해 주시기 바랍니다  서비스 소개 앳트래커    모든 매장의 매출 정보 분석서비스소개영상   누벤트가 일하는 법 스크럼 방식으로 1주일 단위 스프린트로 업무가 이뤄져요 효율성과 자동화를 항상 고민해요 오래 일하는 것보다  집중해서 일하는 것을 선호해요 일을 위한 일을 만들지 않아요 커뮤니케이션을 통해 업무의 방향성과 스펙을 정의해요 매주 업무내용을 공유하며 그를 통해 얻은 인사이트로 서로서로 build up해요재미있는 서브프로젝트가 발견되면 희망자들을 모집해 서브프로젝트로 업무Task를 진행해요 CEO 인터뷰 빅데이터 기반 ICT기술로 매장의 매출 정보를 분석한다  관련기사 플래텀   매장 데이터 플랫폼  앳트래커’ 운영사 누벤트  프리A 투자유치,  N de js 환경에서 웹 서비스 백엔드 개발 및 운영  운영에 필요한 어드민 백엔드 개발,  N de js를 이용한 서버 개발 구축 경험  하나 이상의 RDBMS  N SQL 사용 경험  RESTful API 에 대한 기본적인 이해  AWS 환경에서 개발 및 운영 경험  백엔드 개발 관련 경력 4년 이상,"'Github','JIRA','Linux','MySQL','JavaScript','Node.js','AWS'",  SaaS형 서비스에서 백엔드 개발 경험  MySQL DB 설계  관리 경험,편리한 교통  삼성역과 선릉역에서 도보 9분  회사 앞에 바로 버스정류장이 있어요  포스코사거리 자율출퇴근제  9시 11시 사이에 출근해서 8시간 근무하고 퇴근해요공유 오피스  업무에만 집중할 수 있도록  필요한 건 공유 오피스가 제공해 드려요수평적 조직문화  상호 간 호칭은    님   활발한 커뮤니케이션을 지향해요개인 노트북 지급  윈도우  맥 구분 없이 최신 사양 노트북 지급해 드려요부식 무제한 지원  쿠팡 회사 계정으로 먹고 싶은 간식을 장바구니에만 담아두세요자기개발비 지원  성장을 위한 도서비  세미나  컨퍼런스 지원해 드려요매달 마지막 금요일 리프레시 데이  Refresh day   문화생활도 중요하니까  한달에 하루는 다 같이 일찍 퇴근해요스톡옵션 부여  기여한 만큼 인정받아요  성과에 따라 스톡옵션 부여해 드려요,"서울시 강남구 테헤란로 501, 6층 617호(삼성동, 브이플렉스)"
케이아이티원,전자정부 Web/Java 개발리더 (팀장급),  정부부처 및 공공기관을 대상으로 프로젝트 방식의 SI 업무를 수주합니다  지능정보기술 기반 IT 컨설팅과 관련 R D  컨설팅 기반 S W 개발을 수행하는 회사입니다  R D를 통한 특허 등록 클라우드  빅데이터 솔루션  중소기업청 R D 2회 수행  특허 3건 등록   벤처기업 등록  2019년   부설 연구소 등록  2017년 ,  전자정부 업무 분석 및 시스템 설계  개발리딩 및 개발  Web HTML  CSS  JS  UI개발도구   Java  DB 설계 및 개발 리딩  분석 설계 구현 산출물 작성  웹 디자인과 퍼블리싱은 요구사항 제외입니다  외주로 처리함 ,  컴퓨터공학과 4년제 졸업 이상  전자정부 SI개발 5년 이상 포함 총 개발경력 10년 이상  전자정부 SI프로젝트 PL 또는 개발리더 경력  고객과 화면설계수준의 협의 및 설계 가능,"'Github','Linux','HTML','Java','JavaScript','SQL','RDBMS','전자정부프레임워크'",  I T 관련 프로젝트 및 데이터 모니터링 플랫폼 구축 경험자,  4대보험  청년내일채움공제 해당자   자기 계발 지원  인터뷰 시 협의   주 근무지역  본사 마포구 공덕동   주 4 5일 근무 가능 주 40시간  유연근무제   주 1회 재택 가능  협업도구 사용  보안문제 없을시   연봉  대졸 초임 3 300만원 기준으로 경력 및 인터뷰에 따라 협의  인센티브  연말 경영성과에 따라 연봉 외 추가 지급  2021 2022 2년 연속 지급   복지 포인트 지급  기타 관련 교육 및 도서 지원 등,"서울시 마포구 마포대로 127, 507호"
넥스트에디션,프론트엔드(React) 개발 팀장, 막힘없이 캠핑가자    캠핏 우리가 모인이유 저희는 폐쇄적이고  제대로 된 정보를 찾기가 어려운  캠핑시장 을  데이터 기반의 정보기술을 활용해 고객들이 쉽고 편하고 캠핑을 즐길수 있는  서비스를 만들어가 가기 위해 모였습니다 캠핏은 2021년 2월 Beta 서비스 런칭을 시작으로 런칭 2년 만에 매우 높은 서비스 지표를 만들어냈습니다   150만건 이상의 캠핑예약 중개  MAU 100만명  누적 거래액 약 1 000억  누적 고유 방문자 450만명 이용자이만큼 저희 캠핏은 이미 캠핑예약 시장에서 사업성과 팀의 역량을 검증받아 시장을 선도하고 있는 서비스 입니다 전국 유명 캠핑장 사장님이 저희와 함께 하고 있고 캠핑장 예약 서비스 고객들에게  정보의 신뢰성과 편의 제공이라는 가치에 뜻을 같이 하고 있습니다 저희 서비스는 초기창업패키지에서 최우수 판정  TIPS 최종 선정 등으로 사업성을 인정 받았고스프링캠프  패스트벤처스  베이스인베스트먼트 등 유명 VC에서 투자를 받아런칭 1년 만에 pre A 투자를 성공적으로 유치하였으며  현재 시리즈 A 투자 유치도 확정되었습니다 여기에 플랫폼 서비스 출신의 훌륭과 동료들이 단단한 팀웍을 바탕으로우리의 새로운 성공을 만들기 위해 각자가 가진 경험을 함께 공유하고 있습니다 ,  캠핏 프론트엔드 React  개발 총괄  캠핏 앱  React Native Webview  개발 총괄  개발팀 팀원 작업 스케쥴링 및 코드 리뷰  Dev  Staging 코드 관리 및 배포 관리 총괄  기획팀  디자인팀  운영팀 등 타 부서와의 협업 관리  개발 요구사항 정리 및 개발,  React   React Native 실무 경력 최소 5년 이상  React 프로젝트 리드 경험  HTML  CSS  Javascript 중상급 이상  스프린트마다 코드 리뷰를 하신 경험이 있으신 분  Git을 이용한 코드 관리 및 협업 경험  Figma를 이용한 협업을 경험해보신 분  원활한 커뮤니케이션이 가능하신 분  기획자  디자이너와 밀접하게 협업하여 업무를 진행할 수 있는 분  팀원 관리에 능하신 분,"'GitLab','MongoDB','React','Node.js','AWS'",  개발팀에서 관리자급 경험이 있으신 분  코드 최적화 및 퍼포먼스 향상에 관심이 많으신 분  업무 효율 향상 및 자동화에 관심이 많으신 분  스타트업에 일해 본 경험이 있으신 분  캠핑을 좋아하시거나  관심이 있으신분,  사내 전용 커피숍 제공  원하는 음료를 무한  휴식은 자유롭게   자율 연차   연차는 눈치없이 자유롭게  오전 9 11시 자율적으로 출근  18 20시 퇴근 유연근무제 운영  캠핑 용품 구매시 직원 할인가 혜택 채용절차  서류전형  ＞ 사전과제 필요시  ＞  직무 인터뷰 1차   ＞ 컬처핏 인터뷰 2차   ＞ 처우   스톡옵션 협의  ＞ 팀 합류  포트폴리오 제출  전형과정은 진행상황에 따라 다르게 진행 될 수 있습니다 ,성동구 성수이로22길 37
그린브릭스컴퍼니,디지털 광고 운영/분석 솔루션 개발자,그린브릭스컴퍼니는 퍼포먼스마케팅  주로 in APP 캠페인 전문가들의 구성으로다양한 지표를 최적화하여 주요 매체 및 광고 상품 기획과 론칭을 주된 업무로 진행하고 있습니다 블록의 Base Plate처럼 우리 그린브릭스컴퍼니는 어떤 색깔  어떤 모양의 블록이든 차곡차곡 신중하게 쌓기위해 노력하고 빠르게 변화하는 디지털 시대에 맞춰 다양한 마케팅 컨설팅과 서비스를 제공하고자 합니다 ,  디지털 광고 운영 분석 솔루션 개발  광고주 맞춤 솔루션 개발  데이터 로그 분석 및 운영 개발  DB 설계 및 관리  API를 통한 디지털 광고 매체 데이터 수집 및 가공,  학력  초대졸 이상  경력  5년 10년,"'iOS','HTML','JavaScript','SQL','API','DSL'",  풀스택 앱포함  우대  DSP SSP DMP 등의 디지털마케팅 플랫폼 구축 경험이 있는 분  MsSQL 등의 DB프로그래밍 설계 경험이 있는 분  대용량 DB 데이터 운영 및 관리 경험이 있는 분  디지털 광고 로그분석 관련 시스템 개발 경험이 있는 분  빅데이터 처리 및 쿼리 튜닝이 가능한 분,  탄력근무제 9시 10시 출근   퇴직연금  내일채움공제 신청 가능  각종 경조사지원  고사양 업무용 노트북 PC  명절 상여금  연봉 외 연 240만원 상당의 복지비 지급  1인 1법인카드 지급  웰컴키트 지급  신입사원 10주간 온보딩 프로그램 진행  그린데이  한달에 한 번  하루 4시간만 근무  브릭스데이  매달 2회 금요일 1시간 일찍 퇴근  필요 시 재택근무 시행 업무 환경 지원   3년 5년 만근 유급 휴가  생일자 오후 2시 퇴근  생일 반차  자유로운 연차 사용  임직원 리조트 회원권 이용 가능  사전 예약시 법인차량 이용 가능  장기 근속자 및 승진 인센티브  생일 축하 선물 지급  건물 내 커피숍 제휴  1일 1커피 무료 제공  스낵바 상시 운영  업무 관련 강좌  웨비나 지원  업무 관련 도서 지원＜채용절차 및 기타 지원 유의사항＞  정규직 수습기간    3개월 수습기간 급여 100    연봉 별도 협의 예정,"서울시 금천구 가산디지털1로 181, 가산W센터 1105~1106호"
